budget,usbox,rrating
12000000,70000000,1
55000000,70098138,1
205000000,70107728,0
24000000,70269899,0
65000000,70278893,0
17000000,70500000,1
50000000,70511035,1
25000000,70600000,1
105000000,71000000,0
92500000,71195053,0
28000000,71300000,0
40000000,71440011,1
25000000,71500556,1
17000000,71502303,1
15000000,71600000,0
22500000,71985628,0
60000000,72091016,0
37000000,72300000,0
90000000,72708161,0
11000000,72778712,1
51000000,72779000,0
69000000,73000000,0
13000000,73000000,0
35000000,73034460,0
250000000,73100000,0
150000000,73100000,0
170000000,73200000,0
80000000,73215310,0
50000000,73357727,1
75000000,73661010,0
40000000,74103820,1
79000000,74200000,0
25000000,74273505,1
30000000,74494381,1
60000000,74541707,0
100000000,75030163,0
18000000,75072454,0
24000000,75155000,1
60000000,75286229,0
40000000,75305995,0
60000000,75530832,1
23600000,75590286,1
22000000,75597042,0
50000000,75600000,0
61000000,75600000,1
85000000,75600000,0
60000000,75600000,0
70000000,75700000,0
54000000,75802010,0
50000000,75941727,0
75000000,75976178,1
82500000,75986503,0
45000000,76261036,1
117000000,76400000,0
75000000,77073959,0
110000000,77200000,0
100000000,77233467,0
25000000,77300000,0
130000000,77600000,0
